hour,load_mw,solar_mw,wind_mw,battery_capacity_mwh,max_charge_mw,max_discharge_mw,initial_soc_percent,min_soc_percent,max_soc_percent,charge_efficiency,discharge_efficiency,grid_import_limit_mw
0,78.0,0.0,28.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
1,75.0,0.0,30.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
2,73.0,0.0,31.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
3,72.0,0.0,29.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
4,72.0,0.0,27.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
5,76.0,0.0,29.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
6,85.0,5.0,32.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
7,95.0,18.0,30.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
8,105.0,38.0,28.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
9,112.0,58.0,31.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
10,116.0,78.0,34.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
11,120.0,105.0,36.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
12,122.0,125.0,38.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
13,124.0,125.0,35.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
14,128.0,110.0,33.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
15,135.0,72.0,30.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
16,142.0,52.0,28.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
17,150.0,28.0,27.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
18,155.0,10.0,25.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
19,148.0,2.0,26.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
20,135.0,0.0,28.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
21,118.0,0.0,30.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
22,98.0,0.0,29.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
23,86.0,0.0,28.0,100.0,30.0,30.0,60.0,20.0,90.0,0.95,0.95,70.0
